Code,Name,Lat,Lng
111,BOGOTA. D.C.,4.692085,-74.076010
051,MEDELLIN,0,0
131,CARTAGENA,10.402787,-75.519555
081,BARRANQUILLA,0,0
151,TUNJA,0,0
171,MANIZALES,0,0
181,FLORENCIA,0,0
191,POPAYAN,0,0
201,VALLEDUPAR,0,0
231,MONTERIA,0,0
411,NEIVA,0,0
441,RIOHACHA,0,0
471,SANTA MARTA,0,0
501,VILLAVICENCIO,0,0
521,PASTO,0,0
541,CUCUTA,0,0
631,ARMENIA,0,0
661,PEREIRA,0,0
681,BUCARAMANGA,0,0
701,SINCELEJO,0,0
731,IBAGUE,0,0
761,CALI,0,0
811,ARAUCA,0,0
851,YOPAL,0,0
861,MOCOA,0,0
881,SAN ANDRES,0,0
911,LETICIA,0,0
941,INIRIDA,0,0
951,SAN JOSE DEL GUAVIARE,0,0
971,MITU,0,0
991,PUERTO CARREÑO,0,0
000,NACIONAL,0,0
